07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"0.1","","107911","946","46_tamaki_talk2_loop","0","3","1","46_tamaki_talk2","0.1","19460042"
"","","vo_fpc","946","0","","21","","vo_fpc_30607","","19460043"
"0","0.5","107811","946","1","6","11","0","是啊。\n……話說回來，她還真有精神呢。","0","19460044"
"","","0","946","","","91","","","","19460045"
"0.1","","107811","946","46_kyaru_idle_normal_loop","0","3","1","46_kyaru_idle_normal","0.1","19460046"
"","","0.5","946","","","93","","0","","19460047"
"","","115","946","","","32","","0","","19460048"
"","","122411","946","","","32","","0","","19460049"
"","","122411","946","0","-180","2","","-910","","19460050"
"","","115","946","0","-180","33","","-910","","19460051"
"","","122411","946","4.80140774258421","-180","2","","1000","","19460052"
"","","115","946","4.80140774258421","-180","33","","1000","","19460053"
"","","115","946","","","32","","1","","19460054"
"0.1","","122411","946","","1","3","","46_hiyori_flutterKickFast","","19460055"
"","","1.5","946","","","93","","0","","19460056"
"","","vo_fpc","946","0","","21","","vo_fpc_30608","","19460057"
"0","1","122411","946","1","15","11","0","哇──！","0","19460058"
"","","0.766666666666667","946","","","93","","0","","19460059"
"","","1.5","946","","","93","","0","","19460060"
"","","19460052","946","","","91","","","","19460061"
"0.1","","107911","946","46_tamaki_talk3_loop","","3","1","46_tamaki_talk3","0.1","19460062"
"","","vo_fpc","946","0","","21","","vo_fpc_30609","","19460063"
"0","0.5","107911","946","1","7","11","0","……咦？這個泳池\n應該相當地長才對喵。","0","19460064"
"","","0","946","","","91","","","","19460065"
"0.1","","107811","946","46_kyaru_idle_normal2_loop","0","3","1","46_kyaru_idle_normal2","0.1","19460066"
"","","115","946","","","32","","0","","19460067"
"","","122411","946","0","-180","2","","-910","","19460068"
"","","115","946","0","-180","33","","-910","","19460069"
"","","122411","946","2.1606334841629","-180","2","","1000","","19460070"
"","","115","946","2.1606334841629","-180","33","","1000","","19460071"
"","","115","946","","","32","","1","","19460072"
"1","","se_10053800","946","","0","23","","se_10053800_946_hiyori","","19460073"
"","","0.5","946","","","93","","0","","19460074"
"","","vo_fpc","946","0","","21","","vo_fpc_30610","","19460075"
"0","1","122411","946","1","27","11","0","哇──！","0","19460076"
"","","0.65","946","","","93","","0","","19460077"
"","","1.5","946","","","93","","0","","19460078"
"0.1","","107811","946","46_kyaru_surprise_loop","0","3","1","46_kyaru_surprise","0.1","19460079"
"0.1","","107911","946","46_tamaki_talk4_loop","","3","1","46_tamaki_talk4","0.1","19460080"
"","","vo_fpc","946","0","","21","","vo_fpc_30611","","19460081"
"0","0.5","107811","946","1","7","11","0","她剛剛才剛通過這裡吧？\n是游得多快啊！？","0","19460082"
"","","0","946","","","91","","","","19460083"
"","","115","946","","","32","","0","","19460084"
"","","122411","946","0","-180","2","","-910","","19460085"
"","","115","946","0","-180","33","","-910","","19460086"
"","","122411","946","2.1606334841629","-180","2","","1000","","19460087"
"","","115","946","2.1606334841629","-180","33","","1000","","19460088"
"","","115","946","","","32","","1","","19460089"
"1","","se_10053800","946","","0","23","","se_10053800_946_hiyori","","19460090"
"","","0.5","946","","","93","","0","","19460091"
"","","vo_fpc","946","0","","21","","vo_fpc_30612","","19460092"
"0","1","122411","946","1","20","11","0","好──好玩！","0","19460093"
"","","0.8","946","","","93","","0","","19460094"
"","","1.5","946","","","93","","0","","19460095"
"0.1","","107911","946","","1","3","","46_cmn_run","","19460096"
"0.1","","107811","946","","1","3","","46_cmn_run","","19460097"
"","","107911","946","2.8657616892911","-15","2","","800","","19460098"
"","","107811","946","3.46907993966818","-15","2","","800","","19460099"
"","","0","946","","","91","","","","19460100"
"1.75","cmn_float_r","1","947","-850","22","1","-180","129411","0","19470001"
"1.75","empty","3","947","320","23","5","-180","31","0","19470002"
"1.75","cmn_float","1","947","-1100","12","1","-125","129511","0","19470003"
"1.75","empty","3","947","70","13","5","-125","32","0","19470004"
"1.75","47_yuni_float","26","947","-900","22","5","-180","26","0","19470005"
"1","","6","947","-180","-820","31","1","61","","19470006"
"0","","4","947","-180","320","31","1","41","","19470007"
"0","","103","947","-180","320","31","1","1031","","19470008"
"0","","124","947","-180","320","31","1","1241","","19470009"
"0","","9","947","-180","320","31","1","91","","19470010"
"1","","10","947","-180","850","31","1","101","","19470011"
"1","","6","947","-125","-1100","31","1","62","","19470012"
"0","","4","947","-125","70","31","1","42","","19470013"
"0","","103","947","-125","70","31","1","1032","","19470014"
"0","","124","947","-125","70","31","1","1242","","19470015"
"0","","9","947","-125","70","31","1","92","","19470016"
"1","","10","947","-125","850","31","1","102","","19470017"
"1","","102","947","-180","-900","31","1","26","","19470018"
"0","","1009","947","0","-975","31","1","1009","","19470019"
"0","","1010","947","0","-310","31","1","1010","","19470020"
"0","","1011","947","30","570","31","1","1011","","19470021"
"1","","se_10053800","947","","1","23","","se_fpc_water_random","","19470022"
"","","19470021","947","","","91","","","","19470023"
"0.1","","129411","947","","1","3","","cmn_float_r","","19470024"
"","","129411","947","6.88235294117647","-180","2","12","320","","19470025"
"","","61","947","6.88235294117647","-180","33","12","350","","19470026"
"","","129511","947","6.88235294117647","-125","2","12","70","","19470027"
"","","62","947","6.88235294117647","-125","33","12","70","","19470028"
"","","1009","947","6.88235294117647","0","33","12","195","","19470029"
"","","1009","947","","","32","","1","","19470030"
"","","19470025","947","","","91","","","","19470031"
"","","26","947","4.55882352941176","-180","2","12","-280","","19470032"
"","","26","947","4.55882352941176","-180","33","12","-280","","19470033"
"","","19470032","947","","","91","","","","19470034"
"","","1009","947","","","32","","0","","19470035"
"","","vo_fpc","947","0","","21","","vo_fpc_30701","","19470036"
"0","0.5","26","947","1","4","11","0","流逝的泳池水源源不絕，\n而且那並非原本的水……是嗎。","0","19470037"
"","","0","947","","","91","","","","19470038"
"","","vo_fpc","947","0","","21","","vo_fpc_30702","","19470039"
"0","1","26","947","1","4","11","0","喲，各位，玩得天真無邪呢。\n這世界的無常真令我感到虛幻啊。\n講白一點，\n我把羅塞塔弄丟了。","0","19470040"
"","","0","947","","","91","","","","19470041"
"0.1","","129511","947","47_cmn_surprise_loop","0","3","1","47_chieru_surprise_in","0.1","19470042"
"","","62","947","0.2","-125","33","12","100","","19470043"
"0.1","","129411","947","47_cmn_surprise_loop","0","3","1","47_kuroe_surprise_in","0.1","19470044"
"","","vo_fpc","947","0","","21","","vo_fpc_30703","","19470045"
"0","0.5","129411","947","1","17","11","0","喂……\n妳在搞什麼啦，得快去找才行……！","0","19470046"
"","","0","947","","","91","","","","19470047"
"0.1","","129411","947","cmn_swm_diving","0","3","1","47_cmn_diving_in","0.1","19470048"
"","","0.2","947","","","93","","0","","19470049"
"","","61","947","","","32","","0","","19470050"
"","","1031","947","","","32","","1","","19470051"
"","","91","947","","","32","","1","","19470052"
"","","129411","947","1.59879336349925","-180","2","","850","","19470053"
"","","91","947","1.59879336349925","-180","33","","850","","19470054"
"0.1","","129511","947","cmn_swm_diving","0","3","1","47_cmn_diving_in","0.1","19470055"
"","","0.2","947","","","93","","0","","19470056"
"","","62","947","","","32","","0","","19470057"
"","","1032","947","","","32","","1","","19470058"
"","","92","947","","","32","","1","","19470059"
"","","129511","947","1.96078431372549","-125","2","","850","","19470060"
"","","92","947","1.96078431372549","-125","33","","850","","19470061"
"","","19470060","947","","","91","","","","19470062"
"","","91","947","","","32","","0","","19470063"
"","","92","947","","","32","","0","","19470064"
"","","129511","947","2.94117647058824","-125","2","12","70","","19470065"
"","","102","947","2.94117647058824","-125","33","12","70","","19470066"
"0.1","","129511","947","","1","3","","cmn_swm_diving_r","","19470067"
"","","1","947","","","93","","0","","19470068"
"","","vo_fpc","947","0","","21","","vo_fpc_30704","","19470069"
"0","0.5","26","947","1","13","11","0","有找到嗎？","0","19470070"
"","","0.9","947","","","93","","0","","19470071"
"","","1","947","","","93","","0","","19470072"
"","","19470065","947","","","91","","","","19470073"
"0.1","","26","947","47_yuni_surprise_loop","0","3","1","47_yuni_surprise_in","0.1","19470074"
"0.1","","129511","947","47_cmn_item_loop","0","3","1","47_cmn_item_in","0.1","19470075"
"0.1","","32","947","47_cmn_item_loop_book","0","3","1","47_cmn_item_in_book","0.1","19470076"
"","","0.2","947","","","93","","0","","19470077"
"","","42","947","","","32","","1","","19470078"
"","","1242","947","","","32","","1","","19470079"
"","","102","947","","","32","","0","","19470080"
"","","vo_fpc","947","0","","21","","vo_fpc_30705","","19470081"
"0","1","129511","947","1","6","11","0","有優妮學姐的書。","0","19470082"
"","","1.8","947","","","93","","0","","19470083"
"","","129411","947","1.99849170437406","-180","2","12","320","","19470084"
"","","101","947","1.99849170437406","-180","33","12","320","","19470085"
"0.1","","129411","947","","1","3","","cmn_swm_diving_r","","19470086"
"","","1.5","947","","","93","","0","","19470087"
"","","19470084","947","","","91","","","","19470088"
"0.1","","129411","947","47_cmn_item_loop","0","3","1","47_cmn_item_in","0.1","19470089"
"0.1","","31","947","47_cmn_item_loop_weapon","0","3","1","47_cmn_item_in_weapon","0.1","19470090"
"","","0.2","947","","","93","","0","","19470091"
"","","41","947","","","32","","1","","19470092"
"","","1241","947","","","32","","1","","19470093"
"","","101","947","","","32","","0","","19470094"
"","","vo_fpc","947","0","","21","","vo_fpc_30706","","19470095"
"0","1","129411","947","1","7","11","0","有優妮學姐的斧頭還是長槍。","70","19470096"
"","","0","947","","","91","","","","19470097"
"","","1011","947","","","32","","1","","19470098"
"","","vo_fpc","947","0","","21","","vo_fpc_30707","","19470099"
"730","1","26","947","1","5","11","0","砰～！\n警告優妮博士！\n泳池並不是垃圾桶！","140","19470100"
"","","5.25","947","","","93","","0","","19470101"
"","","1.5","947","","","93","","0","","19470102"
"0.3","","26","947","","1","3","","47_yuni_float","","19470103"
"","","1010","947","","","32","","1","","19470104"
"","","1.5","947","","","93","","0","","19470105"
"0.1","","129511","947","cmn_float","0","3","1","47_cmn_float_in","0.1","19470106"
"0.1","","32","947","empty","0","3","0","47_cmn_float_in_book","0.1","19470107"
"0.1","","129411","947","cmn_float","0","3","1","47_cmn_float_in","0.1","19470108"
"0.1","","31","947","empty","0","3","0","47_cmn_float_in_weapon","0.1","19470109"
"","","1.1","947","","","93","","0","","19470110"
"","","129411","947","3.07692307692308","-180","2","","1000","","19470111"
"","","41","947","3.07692307692308","-180","33","","1000","","19470112"
"","","26","947","5.79185520361991","-180","2","","1000","","19470113"
"","","26","947","5.79185520361991","-180","33","","1000","","19470114"
"","","129511","947","4.20814479638009","-125","2","","1000","","19470115"
"","","42","947","4.20814479638009","-125","33","","1000","","19470116"
"","","19470113","947","","","91","","","","19470117"
"","","se_10053800","951","","","23","","se_fpc_water_random","","19510001"
"1.75","cmn_float_monster_01","1","951","-850","22","5","-180","1","0","19510002"
"","","1","951","15","-180","2","","850","","19510003"
"","","se_10053800","952","","","23","","se_fpc_water_random","","19520001"
"1.75","cmn_float_monster_02","1","952","-850","22","5","-180","1","0","19520002"
"","","1","952","15","-180","2","","850","","19520003"
"","","se_10053800","953","","","23","","se_fpc_water_random","","19530001"
"1.75","cmn_float_monster_03","1","953","-850","22","5","-180","1","0","19530002"
"","","1","953","15","-180","2","","850","","19530003"
"","","se_10053800","954","","","23","","se_fpc_water_random","","19540001"
"1.75","cmn_float_monster_04","1","954","-850","22","5","-180","1","0","19540002"
"","","1","954","15","-180","2","","850","","19540003"
"","","se_10053800","955","","","23","","se_fpc_water_random","","19550001"
"1.75","cmn_float_monster_05","1","955","-850","22","5","-180","1","0","19550002"
"","","1","955","15","-180","2","","850","","19550003"
"","","se_10053800","956","","","23","","se_fpc_water_random","","19560001"
"1.75","cmn_float_monster_06","1","956","-850","22","5","-180","1","0","19560002"
"","","1","956","15","-180","2","","850","","19560003"
"","","se_10053800","957","","","23","","se_fpc_water_random","","19570001"
"1.75","cmn_float_monster_07","1","957","-850","22","5","-180","1","0","19570002"
"","","1","957","15","-180","2","","850","","19570003"
"","","se_10053800","958","","","23","","se_fpc_water_random","","19580001"
"1.75","cmn_float_monster_08","1","958","-850","22","5","-180","1","0","19580002"
"","","1","958","15","-180","2","","850","","19580003"
"","","se_10053800","959","","","23","","se_fpc_water_random","","19590001"
"1.75","cmn_float_monster_09","1","959","-850","22","5","-180","1","0","19590002"
"","","1","959","15","-180","2","","850","","19590003"
"","","se_10053800","960","","","23","","se_fpc_water_random","","19600001"
"1.75","cmn_float_monster_10","1","960","-850","22","5","-180","1","0","19600002"
"","","1","960","15","-180","2","","850","","19600003"
"","","se_10053800","961","","","23","","se_fpc_water_random","","19610001"
"1.75","cmn_float_monster_11","1","961","-850","22","5","-180","1","0","19610002"
"","","1","961","15","-180","2","","850","","19610003"
"","","se_10053800","962","","","23","","se_fpc_water_random","","19620001"
"1.75","cmn_float_monster_12","1","962","-850","22","5","-180","1","0","19620002"
"","","1","962","15","-180","2","","850","","19620003"
"","","se_10053800","963","","","23","","se_fpc_water_random","","19630001"
"1.75","cmn_float_monster_13","1","963","-850","22","5","-180","1","0","19630002"
"","","1","963","15","-180","2","","850","","19630003"
"","","se_10053800","964","","","23","","se_fpc_water_random","","19640001"
"1.75","cmn_float_monster_14","1","964","-850","22","5","-180","1","0","19640002"
"","","1","964","15","-180","2","","850","","19640003"
"","","se_10053800","965","","","23","","se_fpc_water_random","","19650001"
"1.75","cmn_float_monster_15","1","965","-850","22","5","-180","1","0","19650002"
"","","1","965","15","-180","2","","850","","19650003"
"","","se_10053800","966","","","23","","se_fpc_water_random","","19660001"
"1.75","cmn_float_monster_16","1","966","-850","22","5","-180","1","0","19660002"
"","","1","966","15","-180","2","","850","","19660003"
"","","se_10053800","970","","","23","","se_fpc_water_random","","19700001"
"1.75","cmn_float_item_01_Ball","1","970","-850","22","5","-180","1","0","19700002"
"","","1","970","15","-180","2","","850","","19700003"
