e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"","","vo_fpc","0","946","","vo_fpc_30612","","21","","19460092"
"0","1","122411","1","946","0","たーのしー！","0","11","20","19460093"
"","","0.8","","946","","0","","93","","19460094"
"","","1.5","","946","","0","","93","","19460095"
"0.1","","107911","","946","","46_cmn_run","","3","1","19460096"
"0.1","","107811","","946","","46_cmn_run","","3","1","19460097"
"","","107911","2.8657616892911","946","","800","","2","-15","19460098"
"","","107811","3.46907993966818","946","","800","","2","-15","19460099"
"","","0","","946","","","","91","","19460100"
"1.75","cmn_float_r","1","-850","947","0","129411","-180","1","22","19470001"
"1.75","empty","3","320","947","0","31","-180","5","23","19470002"
"1.75","cmn_float","1","-1100","947","0","129511","-125","1","12","19470003"
"1.75","empty","3","70","947","0","32","-125","5","13","19470004"
"1.75","47_yuni_float","26","-900","947","0","26","-180","5","22","19470005"
"1","","6","-180","947","","61","1","31","-820","19470006"
"0","","4","-180","947","","41","1","31","320","19470007"
"0","","103","-180","947","","1031","1","31","320","19470008"
"0","","124","-180","947","","1241","1","31","320","19470009"
"0","","9","-180","947","","91","1","31","320","19470010"
"1","","10","-180","947","","101","1","31","850","19470011"
"1","","6","-125","947","","62","1","31","-1100","19470012"
"0","","4","-125","947","","42","1","31","70","19470013"
"0","","103","-125","947","","1032","1","31","70","19470014"
"0","","124","-125","947","","1242","1","31","70","19470015"
"0","","9","-125","947","","92","1","31","70","19470016"
"1","","10","-125","947","","102","1","31","850","19470017"
"1","","102","-180","947","","26","1","31","-900","19470018"
"0","","1009","0","947","","1009","1","31","-975","19470019"
"0","","1010","0","947","","1010","1","31","-310","19470020"
"0","","1011","30","947","","1011","1","31","570","19470021"
"1","","se_10053800","","947","","se_fpc_water_random","","23","1","19470022"
"","","19470021","","947","","","","91","","19470023"
"0.1","","129411","","947","","cmn_float_r","","3","1","19470024"
"","","129411","6.88235294117647","947","","320","12","2","-180","19470025"
"","","61","6.88235294117647","947","","350","12","33","-180","19470026"
"","","129511","6.88235294117647","947","","70","12","2","-125","19470027"
"","","62","6.88235294117647","947","","70","12","33","-125","19470028"
"","","1009","6.88235294117647","947","","195","12","33","0","19470029"
"","","1009","","947","","1","","32","","19470030"
"","","19470025","","947","","","","91","","19470031"
"","","26","4.55882352941176","947","","-280","12","2","-180","19470032"
"","","26","4.55882352941176","947","","-280","12","33","-180","19470033"
"","","19470032","","947","","","","91","","19470034"
"","","1009","","947","","0","","32","","19470035"
"","","vo_fpc","0","947","","vo_fpc_30701","","21","","19470036"
"0","0.5","26","1","947","0","ゆくプールの水は絶えずして、\nしかも元の水にあらず…か。","0","11","5","19470037"
"","","0","","947","","","","91","","19470038"
"","","vo_fpc","0","947","","vo_fpc_30702","","21","","19470039"
"0","1","26","1","947","0","やあ諸君、無邪気に戯れているね。\nぼくは世の無常を儚んでいるよ。\n端的に換言すると、\nロゼッタ落としちゃった。","0","11","5","19470040"
"","","0","","947","","","","91","","19470041"
"0.1","","129511","47_cmn_surprise_loop","947","0.1","47_chieru_surprise_in","1","3","0","19470042"
"","","62","0.2","947","","100","12","33","-125","19470043"
"0.1","","129411","47_cmn_surprise_loop","947","0.1","47_kuroe_surprise_in","1","3","0","19470044"
"","","vo_fpc","0","947","","vo_fpc_30703","","21","","19470045"
"0","0.5","129411","1","947","0","ちょっ…\n何やってンのよ、探さんと…！","0","11","17","19470046"
"","","0","","947","","","","91","","19470047"
"0.1","","129411","cmn_swm_diving","947","0.1","47_cmn_diving_in","1","3","0","19470048"
"","","0.2","","947","","0","","93","","19470049"
"","","61","","947","","0","","32","","19470050"
"","","1031","","947","","1","","32","","19470051"
"","","91","","947","","1","","32","","19470052"
"","","129411","1.59879336349925","947","","850","","2","-180","19470053"
"","","91","1.59879336349925","947","","850","","33","-180","19470054"
"0.1","","129511","cmn_swm_diving","947","0.1","47_cmn_diving_in","1","3","0","19470055"
"","","0.2","","947","","0","","93","","19470056"
"","","62","","947","","0","","32","","19470057"
"","","1032","","947","","1","","32","","19470058"
"","","92","","947","","1","","32","","19470059"
"","","129511","1.96078431372549","947","","850","","2","-125","19470060"
"","","92","1.96078431372549","947","","850","","33","-125","19470061"
"","","19470060","","947","","","","91","","19470062"
"","","91","","947","","0","","32","","19470063"
"","","92","","947","","0","","32","","19470064"
"","","129511","2.94117647058824","947","","70","12","2","-125","19470065"
"","","102","2.94117647058824","947","","70","12","33","-125","19470066"
"0.1","","129511","","947","","cmn_swm_diving_r","","3","1","19470067"
"","","1","","947","","0","","93","","19470068"
"","","vo_fpc","0","947","","vo_fpc_30704","","21","","19470069"
"0","0.5","26","1","947","0","あった？","0","11","10","19470070"
"","","0.9","","947","","0","","93","","19470071"
"","","1","","947","","0","","93","","19470072"
"","","19470065","","947","","","","91","","19470073"
"0.1","","26","47_yuni_surprise_loop","947","0.1","47_yuni_surprise_in","1","3","0","19470074"
"0.1","","129511","47_cmn_item_loop","947","0.1","47_cmn_item_in","1","3","0","19470075"
"0.1","","32","47_cmn_item_loop_book","947","0.1","47_cmn_item_in_book","1","3","0","19470076"
"","","0.2","","947","","0","","93","","19470077"
"","","42","","947","","1","","32","","19470078"
"","","1242","","947","","1","","32","","19470079"
"","","102","","947","","0","","32","","19470080"
"","","vo_fpc","0","947","","vo_fpc_30705","","21","","19470081"
"0","1","129511","1","947","0","ユニ先輩の本がありました。","0","11","10","19470082"
"","","1.8","","947","","0","","93","","19470083"
"","","129411","1.99849170437406","947","","320","12","2","-180","19470084"
"","","101","1.99849170437406","947","","320","12","33","-180","19470085"
"0.1","","129411","","947","","cmn_swm_diving_r","","3","1","19470086"
"","","1.5","","947","","0","","93","","19470087"
"","","19470084","","947","","","","91","","19470088"
"0.1","","129411","47_cmn_item_loop","947","0.1","47_cmn_item_in","1","3","0","19470089"
"0.1","","31","47_cmn_item_loop_weapon","947","0.1","47_cmn_item_in_weapon","1","3","0","19470090"
"","","0.2","","947","","0","","93","","19470091"
"","","41","","947","","1","","32","","19470092"
"","","1241","","947","","1","","32","","19470093"
"","","101","","947","","0","","32","","19470094"
"","","vo_fpc","0","947","","vo_fpc_30706","","21","","19470095"
"0","1","129411","1","947","70","ユニ先輩の斧だか槍だかがありました。","0","11","10","19470096"
"","","0","","947","","","","91","","19470097"
"","","1011","","947","","1","","32","","19470098"
"","","vo_fpc","0","947","","vo_fpc_30707","","21","","19470099"
"730","1","26","1","947","140","ぽーん！\nドクター・ユニに警告！\nプールはゴミ箱じゃありません！","0","11","8","19470100"
"","","5.25","","947","","0","","93","","19470101"
"","","1.5","","947","","0","","93","","19470102"
"0.3","","26","","947","","47_yuni_float","","3","1","19470103"
"","","1010","","947","","1","","32","","19470104"
"","","1.5","","947","","0","","93","","19470105"
"0.1","","129511","cmn_float","947","0.1","47_cmn_float_in","1","3","0","19470106"
"0.1","","32","empty","947","0.1","47_cmn_float_in_book","0","3","0","19470107"
"0.1","","129411","cmn_float","947","0.1","47_cmn_float_in","1","3","0","19470108"
"0.1","","31","empty","947","0.1","47_cmn_float_in_weapon","0","3","0","19470109"
"","","1.1","","947","","0","","93","","19470110"
"","","129411","3.07692307692308","947","","1000","","2","-180","19470111"
"","","41","3.07692307692308","947","","1000","","33","-180","19470112"
"","","26","5.79185520361991","947","","1000","","2","-180","19470113"
"","","26","5.79185520361991","947","","1000","","33","-180","19470114"
"","","129511","4.20814479638009","947","","1000","","2","-125","19470115"
"","","42","4.20814479638009","947","","1000","","33","-125","19470116"
"","","19470113","","947","","","","91","","19470117"
"","","se_10053800","","951","","se_fpc_water_random","","23","","19510001"
"1.75","cmn_float_monster_01","1","-850","951","0","1","-180","5","22","19510002"
"","","1","15","951","","850","","2","-180","19510003"
"","","se_10053800","","952","","se_fpc_water_random","","23","","19520001"
"1.75","cmn_float_monster_02","1","-850","952","0","1","-180","5","22","19520002"
"","","1","15","952","","850","","2","-180","19520003"
"","","se_10053800","","953","","se_fpc_water_random","","23","","19530001"
"1.75","cmn_float_monster_03","1","-850","953","0","1","-180","5","22","19530002"
"","","1","15","953","","850","","2","-180","19530003"
"","","se_10053800","","954","","se_fpc_water_random","","23","","19540001"
"1.75","cmn_float_monster_04","1","-850","954","0","1","-180","5","22","19540002"
"","","1","15","954","","850","","2","-180","19540003"
"","","se_10053800","","955","","se_fpc_water_random","","23","","19550001"
"1.75","cmn_float_monster_05","1","-850","955","0","1","-180","5","22","19550002"
"","","1","15","955","","850","","2","-180","19550003"
"","","se_10053800","","956","","se_fpc_water_random","","23","","19560001"
"1.75","cmn_float_monster_06","1","-850","956","0","1","-180","5","22","19560002"
"","","1","15","956","","850","","2","-180","19560003"
"","","se_10053800","","957","","se_fpc_water_random","","23","","19570001"
"1.75","cmn_float_monster_07","1","-850","957","0","1","-180","5","22","19570002"
"","","1","15","957","","850","","2","-180","19570003"
"","","se_10053800","","958","","se_fpc_water_random","","23","","19580001"
"1.75","cmn_float_monster_08","1","-850","958","0","1","-180","5","22","19580002"
"","","1","15","958","","850","","2","-180","19580003"
"","","se_10053800","","959","","se_fpc_water_random","","23","","19590001"
"1.75","cmn_float_monster_09","1","-850","959","0","1","-180","5","22","19590002"
"","","1","15","959","","850","","2","-180","19590003"
"","","se_10053800","","960","","se_fpc_water_random","","23","","19600001"
"1.75","cmn_float_monster_10","1","-850","960","0","1","-180","5","22","19600002"
"","","1","15","960","","850","","2","-180","19600003"
"","","se_10053800","","961","","se_fpc_water_random","","23","","19610001"
"1.75","cmn_float_monster_11","1","-850","961","0","1","-180","5","22","19610002"
"","","1","15","961","","850","","2","-180","19610003"
"","","se_10053800","","962","","se_fpc_water_random","","23","","19620001"
"1.75","cmn_float_monster_12","1","-850","962","0","1","-180","5","22","19620002"
"","","1","15","962","","850","","2","-180","19620003"
"","","se_10053800","","963","","se_fpc_water_random","","23","","19630001"
"1.75","cmn_float_monster_13","1","-850","963","0","1","-180","5","22","19630002"
"","","1","15","963","","850","","2","-180","19630003"
"","","se_10053800","","964","","se_fpc_water_random","","23","","19640001"
"1.75","cmn_float_monster_14","1","-850","964","0","1","-180","5","22","19640002"
"","","1","15","964","","850","","2","-180","19640003"
"","","se_10053800","","965","","se_fpc_water_random","","23","","19650001"
"1.75","cmn_float_monster_15","1","-850","965","0","1","-180","5","22","19650002"
"","","1","15","965","","850","","2","-180","19650003"
"","","se_10053800","","966","","se_fpc_water_random","","23","","19660001"
"1.75","cmn_float_monster_16","1","-850","966","0","1","-180","5","22","19660002"
"","","1","15","966","","850","","2","-180","19660003"
"","","se_10053800","","970","","se_fpc_water_random","","23","","19700001"
"1.75","cmn_float_item_01_Ball","1","-850","970","0","1","-180","5","22","19700002"
"","","1","15","970","","850","","2","-180","19700003"
"","","se_10053800","","971","","se_fpc_water_random","","23","","19710001"
"1.75","cmn_float_item_02_Ring","1","-850","971","0","1","-180","5","22","19710002"
"","","1","15","971","","850","","2","-180","19710003"
"","","se_10053800","","972","","se_fpc_water_random","","23","","19720001"
"1.75","cmn_float_item_03_Fish","1","-850","972","0","1","-180","5","22","19720002"
"","","1","15","972","","850","","2","-180","19720003"
"","","se_10053800","","973","","se_fpc_water_random","","23","","19730001"
"1.75","cmn_float_item_04_Shell","1","-850","973","0","1","-180","5","22","19730002"
"","","1","15","973","","850","","2","-180","19730003"
"","","se_10053800","","974","","se_fpc_water_random","","23","","19740001"
"1.75","cmn_float_item_05_Fruit","1","-850","974","0","1","-180","5","22","19740002"
"","","1","15","974","","850","","2","-180","19740003"
"","","se_10053800","","975","","se_fpc_water_random","","23","","19750001"
"1.75","cmn_float_item_06_Dolphin","1","-850","975","0","1","-180","5","22","19750002"
"","","1","15","975","","850","","2","-180","19750003"
"","","se_10053800","","976","","se_fpc_water_random","","23","","19760001"
"1.75","cmn_float_item_07_balloon","1","-850","976","0","1","-180","5","22","19760002"
"","","1","15","976","","850","","2","-180","19760003"
"","","se_10053800","","977","","se_fpc_water_random","","23","","19770001"
"1.75","cmn_float_item_08_Petigryphon","1","-850","977","0","1","-180","5","22","19770002"
"","","1","15","977","","850","","2","-180","19770003"
"","","se_10053800","","978","","se_fpc_water_random","","23","","19780001"
"1.75","cmn_float_item_09_Ball","1","-850","978","0","1","-180","5","22","19780002"
"","","1","15","978","","850","","2","-180","19780003"
"","","se_10053800","","979","","se_fpc_water_random","","23","","19790001"
"1.75","cmn_float_item_10_Board","1","-850","979","0","1","-180","5","22","19790002"
"","","1","15","979","","850","","2","-180","19790003"
"","","se_10053800","","980","","se_fpc_water_random","","23","","19800001"
"1.75","cmn_float_item_11_Sushi","1","-850","980","0","1","-180","5","50","19800002"
"1.75","cmn_float_item_11_Sushi","1","-925","980","0","2","-180","5","50","19800003"
"1.75","cmn_float_item_11_Sushi","1","-1000","980","0","3","-180","5","50","19800004"
"","","1","15","980","","850","","2","-180","19800005"
"","","2","15","980","","775","","2","-180","19800006"
"","","3","15","980","","700","","2","-180","19800007"
"","","se_10053800","","981","","se_fpc_water_random","","23","","19810001"
"1.75","cmn_float_item_11_Sushi","1","-850","981","0","1","-180","5","50","19810002"
"1.75","cmn_float_item_11_Sushi","1","-925","981","0","2","-180","5","50","19810003"
"1.75","rolling","8","-1000","981","0","3","-180","5","50","19810004"
